
# Curve 0 of 1, 100 points
# Curve title: "erf(x)"
# x y type
-10 -1  i
-9.79798 -1  i
-9.59596 -1  i
-9.39394 -1  i
-9.19192 -1  i
-8.9899 -1  i
-8.78788 -1  i
-8.58586 -1  i
-8.38384 -1  i
-8.18182 -1  i
-7.9798 -1  i
-7.77778 -1  i
-7.57576 -1  i
-7.37374 -1  i
-7.17172 -1  i
-6.9697 -1  i
-6.76768 -1  i
-6.56566 -1  i
-6.36364 -1  i
-6.16162 -1  i
-5.9596 -1  i
-5.75758 -1  i
-5.55556 -1  i
-5.35354 -1  i
-5.15152 -1  i
-4.94949 -1  i
-4.74747 -1  i
-4.54545 -1  i
-4.34343 -1  i
-4.14141 -1  i
-3.93939 -1  i
-3.73737 -1  i
-3.53535 -0.999999  i
-3.33333 -0.999998  i
-3.13131 -0.999991  i
-2.92929 -0.999966  i
-2.72727 -0.999885  i
-2.52525 -0.999645  i
-2.32323 -0.998982  i
-2.12121 -0.997299  i
-1.91919 -0.993355  i
-1.71717 -0.984836  i
-1.51515 -0.967867  i
-1.31313 -0.936696  i
-1.11111 -0.883898  i
-0.909091 -0.801434  i
-0.707071 -0.682665  i
-0.505051 -0.524927  i
-0.30303 -0.331749  i
-0.10101 -0.113591  i
 0.10101  0.113591  i
 0.30303  0.331749  i
 0.505051  0.524927  i
 0.707071  0.682665  i
 0.909091  0.801434  i
 1.11111  0.883898  i
 1.31313  0.936696  i
 1.51515  0.967867  i
 1.71717  0.984836  i
 1.91919  0.993355  i
 2.12121  0.997299  i
 2.32323  0.998982  i
 2.52525  0.999645  i
 2.72727  0.999885  i
 2.92929  0.999966  i
 3.13131  0.999991  i
 3.33333  0.999998  i
 3.53535  0.999999  i
 3.73737  1  i
 3.93939  1  i
 4.14141  1  i
 4.34343  1  i
 4.54545  1  i
 4.74747  1  i
 4.94949  1  i
 5.15152  1  i
 5.35354  1  i
 5.55556  1  i
 5.75758  1  i
 5.9596  1  i
 6.16162  1  i
 6.36364  1  i
 6.56566  1  i
 6.76768  1  i
 6.9697  1  i
 7.17172  1  i
 7.37374  1  i
 7.57576  1  i
 7.77778  1  i
 7.9798  1  i
 8.18182  1  i
 8.38384  1  i
 8.58586  1  i
 8.78788  1  i
 8.9899  1  i
 9.19192  1  i
 9.39394  1  i
 9.59596  1  i
 9.79798  1  i
 10  1  i

